point_type,boundary_label,x,y,phi,target,boundary_error,pde_residual,pde_loss,energy_density,grad_norm,tau_eq,total_point_loss
interior,,6.2637364864e-01,5.4945056327e-03,3.7357455492e-01,nan,nan,3.1614810228e-02,9.9949620198e-04,1.0211527348e-02,1.0006138086e+00,1.0006138086e+00,1.0461401398e-02
interior,,6.3186812401e-01,5.4945056327e-03,3.6807844043e-01,nan,nan,3.4454923123e-02,1.1871417519e-03,1.0206116363e-02,1.0002676249e+00,1.0002676249e+00,1.0502901801e-02
interior,,6.3736265898e-01,5.4945056327e-03,3.6258181930e-01,nan,nan,3.6080095917e-02,1.3017733581e-03,1.0212248191e-02,1.0006599426e+00,1.0006599426e+00,1.0537691531e-02
interior,,6.4285713434e-01,5.4945056327e-03,3.5708704591e-01,nan,nan,4.0867019445e-02,1.6701132990e-03,1.0204511695e-02,1.0001649857e+00,1.0001649857e+00,1.0622040019e-02
interior,,6.4835166931e-01,5.4945056327e-03,3.5159111023e-01,nan,nan,3.9608139545e-02,1.5688047279e-03,1.0210178792e-02,1.0005276203e+00,1.0005276203e+00,1.0602379974e-02
interior,,6.5384614468e-01,5.4945056327e-03,3.4609392285e-01,nan,nan,3.9105299860e-02,1.5292244498e-03,1.0211938992e-02,1.0006401539e+00,1.0006401539e+00,1.0594245105e-02
interior,,6.5934067965e-01,5.4945056327e-03,3.4059736133e-01,nan,nan,4.2399417609e-02,1.7977106618e-03,1.0212482885e-02,1.0006749630e+00,1.0006749630e+00,1.0661910550e-02
interior,,6.6483515501e-01,5.4945056327e-03,3.3510190248e-01,nan,nan,4.0118634701e-02,1.6095048049e-03,1.0235720314e-02,1.0021607876e+00,1.0021607876e+00,1.0638096515e-02
interior,,6.7032968998e-01,5.4945056327e-03,3.2960599661e-01,nan,nan,4.6741910279e-02,2.1848061588e-03,1.0208344087e-02,1.0004101992e+00,1.0004101992e+00,1.0754545627e-02
interior,,6.7582416534e-01,5.4945056327e-03,3.2410991192e-01,nan,nan,4.8636231571e-02,2.3654829711e-03,1.0210086592e-02,1.0005216599e+00,1.0005216599e+00,1.0801457334e-02
interior,,6.8131870031e-01,5.4945056327e-03,3.1861335039e-01,nan,nan,5.0386697054e-02,2.5388193317e-03,1.0211517103e-02,1.0006132126e+00,1.0006132126e+00,1.0846221936e-02
interior,,6.8681317568e-01,5.4945056327e-03,3.1311690807e-01,nan,nan,5.2945744246e-02,2.8032518458e-03,1.0211985558e-02,1.0006431341e+00,1.0006431341e+00,1.0912798520e-02
interior,,6.9230771065e-01,5.4945056327e-03,3.0761992931e-01,nan,nan,5.4654855281e-02,2.9871531297e-03,1.0212643072e-02,1.0006852150e+00,1.0006852150e+00,1.0959431354e-02
interior,,6.9780218601e-01,5.4945056327e-03,3.0212321877e-01,nan,nan,5.6464515626e-02,3.1882415060e-03,1.0210763663e-02,1.0005649328e+00,1.0005649328e+00,1.1007824040e-02
interior,,7.0329672098e-01,5.4945056327e-03,2.9662680626e-01,nan,nan,5.9251464903e-02,3.5107361618e-03,1.0213130154e-02,1.0007164478e+00,1.0007164478e+00,1.1090814194e-02
interior,,7.0879119635e-01,5.4945056327e-03,2.9113003612e-01,nan,nan,6.1517875642e-02,3.7844490726e-03,1.0212703608e-02,1.0006890297e+00,1.0006890297e+00,1.1158815876e-02
interior,,7.1428573132e-01,5.4945056327e-03,2.8563329577e-01,nan,nan,6.3872128725e-02,4.0796487592e-03,1.0213840753e-02,1.0007618666e+00,1.0007618666e+00,1.1233752943e-02
interior,,7.1978020668e-01,5.4945056327e-03,2.8013637662e-01,nan,nan,6.6665127873e-02,4.4442391954e-03,1.0214824229e-02,1.0008248091e+00,1.0008248091e+00,1.1325884028e-02
interior,,7.2527474165e-01,5.4945056327e-03,2.7463945746e-01,nan,nan,6.8808741868e-02,4.7346428037e-03,1.0214939713e-02,1.0008322001e+00,1.0008322001e+00,1.1398600414e-02
interior,,7.3076921701e-01,5.4945056327e-03,2.6914253831e-01,nan,nan,7.1345359087e-02,5.0901602954e-03,1.0215017945e-02,1.0008370876e+00,1.0008370876e+00,1.1487558018e-02
interior,,7.3626375198e-01,5.4945056327e-03,2.6364544034e-01,nan,nan,7.3891595006e-02,5.4599680007e-03,1.0216614231e-02,1.0009392500e+00,1.0009392500e+00,1.1581606232e-02
interior,,7.4175822735e-01,5.4945056327e-03,2.5814810395e-01,nan,nan,7.6888076961e-02,5.9117763303e-03,1.0217494331e-02,1.0009955168e+00,1.0009955168e+00,1.1695438414e-02
