point_type,boundary_label,x,y,phi,target,boundary_error,pde_residual,pde_loss,energy_density,grad_norm,tau_eq,total_point_loss
interior,,5.0549453497e-01,5.4945056327e-03,4.9446293451e-01,nan,nan,-4.6379356914e-02,2.1510447478e-03,1.8827060666e-01,9.9990407818e-01,9.9990407818e-01,2.1510447478e-03
interior,,5.1098901033e-01,5.4945056327e-03,4.8896943848e-01,nan,nan,-4.9169502623e-02,2.4176399882e-03,1.8823614682e-01,9.9979466674e-01,9.9979466674e-01,2.4176399882e-03
interior,,5.1648354530e-01,5.4945056327e-03,4.8347635063e-01,nan,nan,-5.1404882676e-02,2.6424619630e-03,1.8821755779e-01,9.9973564331e-01,9.9973564331e-01,2.6424619630e-03
interior,,5.2197802067e-01,5.4945056327e-03,4.7798346543e-01,nan,nan,-5.4402174950e-02,2.9595966393e-03,1.8821974729e-01,9.9974259545e-01,9.9974259545e-01,2.9595966393e-03
interior,,5.2747255564e-01,5.4945056327e-03,4.7249028470e-01,nan,nan,-5.8679844722e-02,3.4433241765e-03,1.8824368267e-01,9.9981859388e-01,9.9981859388e-01,3.4433241765e-03
interior,,5.3296703100e-01,5.4945056327e-03,4.6699659335e-01,nan,nan,-6.4726471289e-02,4.1895160855e-03,1.8828280576e-01,9.9994280941e-01,9.9994280941e-01,4.1895160855e-03
interior,,5.3846156597e-01,5.4945056327e-03,4.6150213602e-01,nan,nan,-7.2638301006e-02,5.2763227731e-03,1.8832130629e-01,1.0000650407e+00,1.0000650407e+00,5.2763227731e-03
interior,,5.4395604134e-01,5.4945056327e-03,4.5600722196e-01,nan,nan,-8.0966430449e-02,6.5555628596e-03,1.8833903697e-01,1.0001213295e+00,1.0001213295e+00,6.5555628596e-03
interior,,5.4945057631e-01,5.4945056327e-03,4.5051223507e-01,nan,nan,-8.6274222318e-02,7.4432414365e-03,1.8832195556e-01,1.0000671020e+00,1.0000671020e+00,7.4432414365e-03
interior,,5.5494505167e-01,5.4945056327e-03,4.4501791330e-01,nan,nan,-8.4234143747e-02,7.0953909727e-03,1.8827162122e-01,9.9990729937e-01,9.9990729937e-01,7.0953909727e-03
interior,,5.6043958664e-01,5.4945056327e-03,4.3952456899e-01,nan,nan,-7.1956642647e-02,5.1777584210e-03,1.8820708240e-01,9.9970238132e-01,9.9970238132e-01,5.1777584210e-03
interior,,5.6593406200e-01,5.4945056327e-03,4.3403232241e-01,nan,nan,-5.0485102909e-02,2.5487456157e-03,1.8815627916e-01,9.9954106055e-01,9.9954106055e-01,2.5487456157e-03
